2024-10-14 14:09:12,475 - INFO - Starting Price Differential Analysis
2024-10-14 14:09:12,483 - INFO - Loaded 17816 records from the JSON file
2024-10-14 14:09:12,547 - DEBUG - Prepared data for ('al bayda', 'tomatoes'): 47 records
2024-10-14 14:09:12,548 - DEBUG - Prepared data for ('al bayda', 'wheat'): 47 records
2024-10-14 14:09:12,548 - DEBUG - Prepared data for ('al bayda', 'wheat flour'): 47 records
2024-10-14 14:09:12,550 - DEBUG - Prepared data for ("al dhale'e", 'beans (kidney red)'): 44 records
2024-10-14 14:09:12,552 - DEBUG - Prepared data for ("al dhale'e", 'beans (white)'): 47 records
2024-10-14 14:09:12,553 - DEBUG - Prepared data for ("al dhale'e", 'eggs'): 47 records
2024-10-14 14:09:12,553 - DEBUG - Prepared data for ("al dhale'e", 'exchange rate (unofficial)'): 47 records
2024-10-14 14:09:12,554 - DEBUG - Prepared data for ("al dhale'e", 'fuel (diesel)'): 47 records
2024-10-14 14:09:12,555 - DEBUG - Prepared data for ("al dhale'e", 'fuel (gas)'): 47 records
2024-10-14 14:09:12,556 - DEBUG - Prepared data for ("al dhale'e", 'fuel (petrol-gasoline)'): 47 records
2024-10-14 14:09:12,557 - DEBUG - Prepared data for ("al dhale'e", 'lentils'): 46 records
2024-10-14 14:09:12,558 - DEBUG - Prepared data for ("al dhale'e", 'milling cost (wheat)'): 47 records
2024-10-14 14:09:12,559 - DEBUG - Prepared data for ("al dhale'e", 'oil (vegetable)'): 47 records
2024-10-14 14:09:12,561 - DEBUG - Prepared data for ("al dhale'e", 'onions'): 47 records
2024-10-14 14:09:12,563 - DEBUG - Prepared data for ("al dhale'e", 'potatoes'): 47 records
2024-10-14 14:09:12,564 - DEBUG - Prepared data for ("al dhale'e", 'rice (imported)'): 47 records
2024-10-14 14:09:12,566 - DEBUG - Prepared data for ("al dhale'e", 'salt'): 47 records
2024-10-14 14:09:12,567 - DEBUG - Prepared data for ("al dhale'e", 'sugar'): 47 records
2024-10-14 14:09:12,568 - DEBUG - Prepared data for ("al dhale'e", 'tomatoes'): 47 records
2024-10-14 14:09:12,569 - DEBUG - Prepared data for ("al dhale'e", 'wheat'): 47 records
2024-10-14 14:09:12,569 - DEBUG - Prepared data for ("al dhale'e", 'wheat flour'): 47 records
2024-10-14 14:09:12,571 - DEBUG - Prepared data for ('al hudaydah', 'beans (kidney red)'): 44 records
2024-10-14 14:09:12,572 - DEBUG - Prepared data for ('al hudaydah', 'beans (white)'): 47 records
2024-10-14 14:09:12,573 - DEBUG - Prepared data for ('al hudaydah', 'eggs'): 47 records
2024-10-14 14:09:12,574 - DEBUG - Prepared data for ('al hudaydah', 'exchange rate (unofficial)'): 47 records
2024-10-14 14:09:12,575 - DEBUG - Prepared data for ('al hudaydah', 'fuel (diesel)'): 47 records
2024-10-14 14:09:12,575 - DEBUG - Prepared data for ('al hudaydah', 'fuel (gas)'): 47 records
2024-10-14 14:09:12,577 - DEBUG - Prepared data for ('al hudaydah', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 14:09:12,578 - DEBUG - Prepared data for ('al hudaydah', 'lentils'): 47 records
2024-10-14 14:09:12,578 - DEBUG - Prepared data for ('al hudaydah', 'milling cost (wheat)'): 47 records
2024-10-14 14:09:12,579 - DEBUG - Prepared data for ('al hudaydah', 'oil (vegetable)'): 47 records
2024-10-14 14:09:12,580 - DEBUG - Prepared data for ('al hudaydah', 'onions'): 47 records
2024-10-14 14:09:12,581 - DEBUG - Prepared data for ('al hudaydah', 'potatoes'): 47 records
2024-10-14 14:09:12,582 - DEBUG - Prepared data for ('al hudaydah', 'rice (imported)'): 47 records
2024-10-14 14:09:12,583 - DEBUG - Prepared data for ('al hudaydah', 'salt'): 47 records
2024-10-14 14:09:12,584 - DEBUG - Prepared data for ('al hudaydah', 'sugar'): 47 records
2024-10-14 14:09:12,585 - DEBUG - Prepared data for ('al hudaydah', 'tomatoes'): 47 records
2024-10-14 14:09:12,585 - DEBUG - Prepared data for ('al hudaydah', 'wheat'): 47 records
2024-10-14 14:09:12,586 - DEBUG - Prepared data for ('al hudaydah', 'wheat flour'): 47 records
2024-10-14 14:09:12,588 - DEBUG - Prepared data for ('al jawf', 'beans (kidney red)'): 44 records
2024-10-14 14:09:12,588 - DEBUG - Prepared data for ('al jawf', 'beans (white)'): 47 records
2024-10-14 14:09:12,589 - DEBUG - Prepared data for ('al jawf', 'eggs'): 47 records
2024-10-14 14:09:12,590 - DEBUG - Prepared data for ('al jawf', 'exchange rate (unofficial)'): 47 records
2024-10-14 14:09:12,591 - DEBUG - Prepared data for ('al jawf', 'fuel (diesel)'): 47 records
2024-10-14 14:09:12,592 - DEBUG - Prepared data for ('al jawf', 'fuel (gas)'): 47 records
2024-10-14 14:09:12,593 - DEBUG - Prepared data for ('al jawf', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 14:09:12,594 - DEBUG - Prepared data for ('al jawf', 'lentils'): 47 records
2024-10-14 14:09:12,595 - DEBUG - Prepared data for ('al jawf', 'milling cost (wheat)'): 47 records
2024-10-14 14:09:12,596 - DEBUG - Prepared data for ('al jawf', 'oil (vegetable)'): 47 records
2024-10-14 14:09:12,597 - DEBUG - Prepared data for ('al jawf', 'onions'): 47 records
2024-10-14 14:09:12,598 - DEBUG - Prepared data for ('al jawf', 'potatoes'): 47 records
2024-10-14 14:09:12,598 - DEBUG - Prepared data for ('al jawf', 'rice (imported)'): 47 records
2024-10-14 14:09:12,600 - DEBUG - Prepared data for ('al jawf', 'salt'): 47 records
2024-10-14 14:09:12,601 - DEBUG - Prepared data for ('al jawf', 'sugar'): 47 records
2024-10-14 14:09:12,602 - DEBUG - Prepared data for ('al jawf', 'tomatoes'): 47 records
2024-10-14 14:09:12,603 - DEBUG - Prepared data for ('al jawf', 'wheat'): 47 records
2024-10-14 14:09:12,603 - DEBUG - Prepared data for ('al jawf', 'wheat flour'): 47 records
2024-10-14 14:09:12,605 - DEBUG - Prepared data for ('al maharah', 'beans (kidney red)'): 44 records
2024-10-14 14:09:12,606 - DEBUG - Prepared data for ('al maharah', 'beans (white)'): 47 records
2024-10-14 14:09:12,607 - DEBUG - Prepared data for ('al maharah', 'eggs'): 47 records
2024-10-14 14:09:12,608 - DEBUG - Prepared data for ('al maharah', 'exchange rate (unofficial)'): 47 records
2024-10-14 14:09:12,608 - DEBUG - Prepared data for ('al maharah', 'fuel (diesel)'): 47 records
2024-10-14 14:09:12,609 - DEBUG - Prepared data for ('al maharah', 'fuel (gas)'): 47 records
2024-10-14 14:09:12,610 - DEBUG - Prepared data for ('al maharah', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 14:09:12,611 - DEBUG - Prepared data for ('al maharah', 'lentils'): 47 records
2024-10-14 14:09:12,612 - DEBUG - Prepared data for ('al maharah', 'oil (vegetable)'): 47 records
2024-10-14 14:09:12,613 - DEBUG - Prepared data for ('al maharah', 'onions'): 47 records
2024-10-14 14:09:12,613 - DEBUG - Prepared data for ('al maharah', 'potatoes'): 47 records
2024-10-14 14:09:12,614 - DEBUG - Prepared data for ('al maharah', 'rice (imported)'): 47 records
2024-10-14 14:09:12,615 - DEBUG - Prepared data for ('al maharah', 'salt'): 47 records
2024-10-14 14:09:12,616 - DEBUG - Prepared data for ('al maharah', 'sugar'): 47 records
2024-10-14 14:09:12,618 - DEBUG - Prepared data for ('al maharah', 'tomatoes'): 47 records
2024-10-14 14:09:12,619 - DEBUG - Prepared data for ('al maharah', 'wheat'): 47 records
2024-10-14 14:09:12,620 - DEBUG - Prepared data for ('al maharah', 'wheat flour'): 47 records
2024-10-14 14:09:12,621 - DEBUG - Prepared data for ('al mahwit', 'beans (kidney red)'): 44 records
2024-10-14 14:09:12,623 - DEBUG - Prepared data for ('al mahwit', 'beans (white)'): 47 records
2024-10-14 14:09:12,623 - DEBUG - Prepared data for ('al mahwit', 'eggs'): 47 records
2024-10-14 14:09:12,624 - DEBUG - Prepared data for ('al mahwit', 'exchange rate (unofficial)'): 47 records
2024-10-14 14:09:12,625 - DEBUG - Prepared data for ('al mahwit', 'fuel (diesel)'): 47 records
2024-10-14 14:09:12,626 - DEBUG - Prepared data for ('al mahwit', 'fuel (gas)'): 47 records
2024-10-14 14:09:12,627 - DEBUG - Prepared data for ('al mahwit', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 14:09:12,628 - DEBUG - Prepared data for ('al mahwit', 'lentils'): 47 records
2024-10-14 14:09:12,629 - DEBUG - Prepared data for ('al mahwit', 'milling cost (wheat)'): 47 records
2024-10-14 14:09:12,630 - DEBUG - Prepared data for ('al mahwit', 'oil (vegetable)'): 47 records
2024-10-14 14:09:12,630 - DEBUG - Prepared data for ('al mahwit', 'onions'): 47 records
2024-10-14 14:09:12,631 - DEBUG - Prepared data for ('al mahwit', 'potatoes'): 47 records
2024-10-14 14:09:12,632 - DEBUG - Prepared data for ('al mahwit', 'rice (imported)'): 47 records
2024-10-14 14:09:12,633 - DEBUG - Prepared data for ('al mahwit', 'salt'): 47 records
2024-10-14 14:09:12,634 - DEBUG - Prepared data for ('al mahwit', 'sugar'): 47 records
2024-10-14 14:09:12,635 - DEBUG - Prepared data for ('al mahwit', 'tomatoes'): 47 records
2024-10-14 14:09:12,636 - DEBUG - Prepared data for ('al mahwit', 'wheat'): 47 records
2024-10-14 14:09:12,636 - DEBUG - Prepared data for ('al mahwit', 'wheat flour'): 47 records
2024-10-14 14:09:12,638 - DEBUG - Prepared data for ('amran', 'beans (kidney red)'): 44 records
2024-10-14 14:09:12,639 - DEBUG - Prepared data for ('amran', 'beans (white)'): 47 records
2024-10-14 14:09:12,639 - DEBUG - Prepared data for ('amran', 'eggs'): 47 records
2024-10-14 14:09:12,640 - DEBUG - Prepared data for ('amran', 'exchange rate (unofficial)'): 47 records
2024-10-14 14:09:12,641 - DEBUG - Prepared data for ('amran', 'fuel (diesel)'): 47 records
2024-10-14 14:09:12,642 - DEBUG - Prepared data for ('amran', 'fuel (gas)'): 47 records
2024-10-14 14:09:12,643 - DEBUG - Prepared data for ('amran', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 14:09:12,644 - DEBUG - Prepared data for ('amran', 'lentils'): 47 records
2024-10-14 14:09:12,645 - DEBUG - Prepared data for ('amran', 'milling cost (wheat)'): 47 records
2024-10-14 14:09:12,646 - DEBUG - Prepared data for ('amran', 'oil (vegetable)'): 47 records
2024-10-14 14:09:12,646 - DEBUG - Prepared data for ('amran', 'onions'): 47 records
2024-10-14 14:09:12,647 - DEBUG - Prepared data for ('amran', 'potatoes'): 47 records
2024-10-14 14:09:12,648 - DEBUG - Prepared data for ('amran', 'rice (imported)'): 47 records
2024-10-14 14:09:12,649 - DEBUG - Prepared data for ('amran', 'salt'): 47 records
2024-10-14 14:09:12,649 - DEBUG - Prepared data for ('amran', 'sugar'): 47 records
2024-10-14 14:09:12,651 - DEBUG - Prepared data for ('amran', 'tomatoes'): 47 records
2024-10-14 14:09:12,652 - DEBUG - Prepared data for ('amran', 'wheat'): 47 records
2024-10-14 14:09:12,653 - DEBUG - Prepared data for ('amran', 'wheat flour'): 47 records
2024-10-14 14:09:12,654 - DEBUG - Prepared data for ('dhamar', 'beans (kidney red)'): 44 records
2024-10-14 14:09:12,655 - DEBUG - Prepared data for ('dhamar', 'beans (white)'): 47 records
2024-10-14 14:09:12,656 - DEBUG - Prepared data for ('dhamar', 'eggs'): 47 records
2024-10-14 14:09:12,657 - DEBUG - Prepared data for ('dhamar', 'exchange rate (unofficial)'): 47 records
2024-10-14 14:09:12,659 - DEBUG - Prepared data for ('dhamar', 'fuel (diesel)'): 47 records
2024-10-14 14:09:12,660 - DEBUG - Prepared data for ('dhamar', 'fuel (gas)'): 47 records
2024-10-14 14:09:12,661 - DEBUG - Prepared data for ('dhamar', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 14:09:12,662 - DEBUG - Prepared data for ('dhamar', 'lentils'): 47 records
2024-10-14 14:09:12,663 - DEBUG - Prepared data for ('dhamar', 'milling cost (wheat)'): 47 records
2024-10-14 14:09:12,664 - DEBUG - Prepared data for ('dhamar', 'oil (vegetable)'): 47 records
2024-10-14 14:09:12,665 - DEBUG - Prepared data for ('dhamar', 'onions'): 47 records
2024-10-14 14:09:12,666 - DEBUG - Prepared data for ('dhamar', 'potatoes'): 47 records
2024-10-14 14:09:12,667 - DEBUG - Prepared data for ('dhamar', 'rice (imported)'): 47 records
2024-10-14 14:09:12,668 - DEBUG - Prepared data for ('dhamar', 'salt'): 47 records
2024-10-14 14:09:12,668 - DEBUG - Prepared data for ('dhamar', 'sugar'): 47 records
2024-10-14 14:09:12,669 - DEBUG - Prepared data for ('dhamar', 'tomatoes'): 47 records
2024-10-14 14:09:12,670 - DEBUG - Prepared data for ('dhamar', 'wheat'): 47 records
2024-10-14 14:09:12,671 - DEBUG - Prepared data for ('dhamar', 'wheat flour'): 47 records
2024-10-14 14:09:12,673 - DEBUG - Prepared data for ('hadramaut', 'beans (kidney red)'): 44 records
2024-10-14 14:09:12,674 - DEBUG - Prepared data for ('hadramaut', 'beans (white)'): 47 records
2024-10-14 14:09:12,675 - DEBUG - Prepared data for ('hadramaut', 'eggs'): 47 records
2024-10-14 14:09:12,676 - DEBUG - Prepared data for ('hadramaut', 'exchange rate (unofficial)'): 47 records
2024-10-14 14:09:12,677 - DEBUG - Prepared data for ('hadramaut', 'fuel (diesel)'): 47 records
2024-10-14 14:09:12,678 - DEBUG - Prepared data for ('hadramaut', 'fuel (gas)'): 47 records
2024-10-14 14:09:12,679 - DEBUG - Prepared data for ('hadramaut', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 14:09:12,679 - DEBUG - Prepared data for ('hadramaut', 'lentils'): 47 records
2024-10-14 14:09:12,680 - DEBUG - Prepared data for ('hadramaut', 'milling cost (wheat)'): 47 records
2024-10-14 14:09:12,681 - DEBUG - Prepared data for ('hadramaut', 'oil (vegetable)'): 47 records
2024-10-14 14:09:12,683 - DEBUG - Prepared data for ('hadramaut', 'onions'): 47 records
2024-10-14 14:09:12,684 - DEBUG - Prepared data for ('hadramaut', 'potatoes'): 47 records
2024-10-14 14:09:12,686 - DEBUG - Prepared data for ('hadramaut', 'rice (imported)'): 47 records
2024-10-14 14:09:12,686 - DEBUG - Prepared data for ('hadramaut', 'salt'): 47 records
2024-10-14 14:09:12,687 - DEBUG - Prepared data for ('hadramaut', 'sugar'): 47 records
2024-10-14 14:09:12,688 - DEBUG - Prepared data for ('hadramaut', 'tomatoes'): 47 records
2024-10-14 14:09:12,689 - DEBUG - Prepared data for ('hadramaut', 'wheat'): 47 records
2024-10-14 14:09:12,690 - DEBUG - Prepared data for ('hadramaut', 'wheat flour'): 47 records
2024-10-14 14:09:12,692 - DEBUG - Prepared data for ('hajjah', 'beans (kidney red)'): 44 records
2024-10-14 14:09:12,693 - DEBUG - Prepared data for ('hajjah', 'beans (white)'): 47 records
2024-10-14 14:09:12,694 - DEBUG - Prepared data for ('hajjah', 'eggs'): 47 records
2024-10-14 14:09:12,695 - DEBUG - Prepared data for ('hajjah', 'exchange rate (unofficial)'): 47 records
2024-10-14 14:09:12,695 - DEBUG - Prepared data for ('hajjah', 'fuel (diesel)'): 47 records
2024-10-14 14:09:12,696 - DEBUG - Prepared data for ('hajjah', 'fuel (gas)'): 47 records
2024-10-14 14:09:12,697 - DEBUG - Prepared data for ('hajjah', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 14:09:12,698 - DEBUG - Prepared data for ('hajjah', 'lentils'): 47 records
2024-10-14 14:09:12,698 - DEBUG - Prepared data for ('hajjah', 'milling cost (wheat)'): 47 records
2024-10-14 14:09:12,699 - DEBUG - Prepared data for ('hajjah', 'oil (vegetable)'): 47 records
2024-10-14 14:09:12,700 - DEBUG - Prepared data for ('hajjah', 'onions'): 47 records
2024-10-14 14:09:12,702 - DEBUG - Prepared data for ('hajjah', 'potatoes'): 47 records
2024-10-14 14:09:12,703 - DEBUG - Prepared data for ('hajjah', 'rice (imported)'): 47 records
2024-10-14 14:09:12,704 - DEBUG - Prepared data for ('hajjah', 'salt'): 47 records
2024-10-14 14:09:12,704 - DEBUG - Prepared data for ('hajjah', 'sugar'): 47 records
2024-10-14 14:09:12,705 - DEBUG - Prepared data for ('hajjah', 'tomatoes'): 47 records
2024-10-14 14:09:12,706 - DEBUG - Prepared data for ('hajjah', 'wheat'): 47 records
2024-10-14 14:09:12,707 - DEBUG - Prepared data for ('hajjah', 'wheat flour'): 47 records
2024-10-14 14:09:12,709 - DEBUG - Prepared data for ('ibb', 'beans (kidney red)'): 44 records
2024-10-14 14:09:12,712 - DEBUG - Prepared data for ('ibb', 'beans (white)'): 47 records
2024-10-14 14:09:12,713 - DEBUG - Prepared data for ('ibb', 'eggs'): 47 records
2024-10-14 14:09:12,714 - DEBUG - Prepared data for ('ibb', 'exchange rate (unofficial)'): 47 records
2024-10-14 14:09:12,715 - DEBUG - Prepared data for ('ibb', 'fuel (diesel)'): 47 records
2024-10-14 14:09:12,716 - DEBUG - Prepared data for ('ibb', 'fuel (gas)'): 47 records
2024-10-14 14:09:12,717 - DEBUG - Prepared data for ('ibb', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 14:09:12,718 - DEBUG - Prepared data for ('ibb', 'lentils'): 47 records
2024-10-14 14:09:12,719 - DEBUG - Prepared data for ('ibb', 'milling cost (wheat)'): 47 records
2024-10-14 14:09:12,720 - DEBUG - Prepared data for ('ibb', 'oil (vegetable)'): 47 records
2024-10-14 14:09:12,720 - DEBUG - Prepared data for ('ibb', 'onions'): 47 records
2024-10-14 14:09:12,721 - DEBUG - Prepared data for ('ibb', 'potatoes'): 47 records
2024-10-14 14:09:12,722 - DEBUG - Prepared data for ('ibb', 'rice (imported)'): 47 records
2024-10-14 14:09:12,723 - DEBUG - Prepared data for ('ibb', 'salt'): 47 records
2024-10-14 14:09:12,724 - DEBUG - Prepared data for ('ibb', 'sugar'): 47 records
2024-10-14 14:09:12,725 - DEBUG - Prepared data for ('ibb', 'tomatoes'): 47 records
2024-10-14 14:09:12,726 - DEBUG - Prepared data for ('ibb', 'wheat'): 47 records
2024-10-14 14:09:12,727 - DEBUG - Prepared data for ('ibb', 'wheat flour'): 47 records
2024-10-14 14:09:12,729 - DEBUG - Prepared data for ('lahj', 'beans (kidney red)'): 44 records
2024-10-14 14:09:12,730 - DEBUG - Prepared data for ('lahj', 'beans (white)'): 47 records
2024-10-14 14:09:12,731 - DEBUG - Prepared data for ('lahj', 'eggs'): 47 records
2024-10-14 14:09:12,732 - DEBUG - Prepared data for ('lahj', 'exchange rate (unofficial)'): 47 records
2024-10-14 14:09:12,733 - DEBUG - Prepared data for ('lahj', 'fuel (diesel)'): 47 records
2024-10-14 14:09:12,734 - DEBUG - Prepared data for ('lahj', 'fuel (gas)'): 47 records
2024-10-14 14:09:12,736 - DEBUG - Prepared data for ('lahj', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 14:09:12,737 - DEBUG - Prepared data for ('lahj', 'lentils'): 47 records
2024-10-14 14:09:12,737 - DEBUG - Prepared data for ('lahj', 'milling cost (wheat)'): 47 records
2024-10-14 14:09:12,738 - DEBUG - Prepared data for ('lahj', 'oil (vegetable)'): 47 records
2024-10-14 14:09:12,739 - DEBUG - Prepared data for ('lahj', 'onions'): 47 records
2024-10-14 14:09:12,740 - DEBUG - Prepared data for ('lahj', 'potatoes'): 47 records
2024-10-14 14:09:12,741 - DEBUG - Prepared data for ('lahj', 'rice (imported)'): 47 records
2024-10-14 14:09:12,743 - DEBUG - Prepared data for ('lahj', 'salt'): 47 records
2024-10-14 14:09:12,743 - DEBUG - Prepared data for ('lahj', 'sugar'): 47 records
2024-10-14 14:09:12,744 - DEBUG - Prepared data for ('lahj', 'tomatoes'): 47 records
2024-10-14 14:09:12,745 - DEBUG - Prepared data for ('lahj', 'wheat'): 47 records
2024-10-14 14:09:12,746 - DEBUG - Prepared data for ('lahj', 'wheat flour'): 47 records
2024-10-14 14:09:12,748 - DEBUG - Prepared data for ('marib', 'beans (kidney red)'): 44 records
2024-10-14 14:09:12,748 - DEBUG - Prepared data for ('marib', 'beans (white)'): 47 records
2024-10-14 14:09:12,749 - DEBUG - Prepared data for ('marib', 'eggs'): 47 records
2024-10-14 14:09:12,750 - DEBUG - Prepared data for ('marib', 'exchange rate (unofficial)'): 47 records
2024-10-14 14:09:12,751 - DEBUG - Prepared data for ('marib', 'fuel (diesel)'): 47 records
2024-10-14 14:09:12,753 - DEBUG - Prepared data for ('marib', 'fuel (gas)'): 47 records
2024-10-14 14:09:12,753 - DEBUG - Prepared data for ('marib', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 14:09:12,754 - DEBUG - Prepared data for ('marib', 'lentils'): 47 records
2024-10-14 14:09:12,756 - DEBUG - Prepared data for ('marib', 'milling cost (wheat)'): 47 records
2024-10-14 14:09:12,756 - DEBUG - Prepared data for ('marib', 'oil (vegetable)'): 47 records
2024-10-14 14:09:12,757 - DEBUG - Prepared data for ('marib', 'onions'): 47 records
2024-10-14 14:09:12,758 - DEBUG - Prepared data for ('marib', 'potatoes'): 47 records
2024-10-14 14:09:12,759 - DEBUG - Prepared data for ('marib', 'rice (imported)'): 47 records
2024-10-14 14:09:12,760 - DEBUG - Prepared data for ('marib', 'salt'): 47 records
2024-10-14 14:09:12,761 - DEBUG - Prepared data for ('marib', 'sugar'): 47 records
2024-10-14 14:09:12,762 - DEBUG - Prepared data for ('marib', 'tomatoes'): 47 records
2024-10-14 14:09:12,763 - DEBUG - Prepared data for ('marib', 'wheat'): 47 records
2024-10-14 14:09:12,763 - DEBUG - Prepared data for ('marib', 'wheat flour'): 47 records
2024-10-14 14:09:12,765 - DEBUG - Prepared data for ('raymah', 'beans (kidney red)'): 44 records
2024-10-14 14:09:12,766 - DEBUG - Prepared data for ('raymah', 'beans (white)'): 47 records
2024-10-14 14:09:12,767 - DEBUG - Prepared data for ('raymah', 'eggs'): 47 records
2024-10-14 14:09:12,768 - DEBUG - Prepared data for ('raymah', 'exchange rate (unofficial)'): 47 records
